start,end,id,length,diameter,disuse,q_max,flowdir,has_booster,booster_hmax
159,160,239,11046.96436,400,0,452.16,0,0,0
160,161,240,7384.518685,300,0,254.34,0,0,0
160,163,241,4885.559808,400,0,452.16,0,0,0
162,163,242,8870.746394,300,0,254.34,0,0,0
163,164,243,4252.198899,400,0,452.16,0,0,0
164,165,244,11277.67929,300,0,254.34,0,0,0
165,167,245,12409.47778,300,0,254.34,0,0,0
166,168,246,9978.423252,400,0,452.16,0,0,0
167,174,247,10950.29993,400,0,452.16,0,0,0
168,169,248,6082.635108,400,0,452.16,0,0,0
168,169,249,6082.635108,400,0,452.16,0,0,0
169,170,250,3547.243776,600,0,1017.36,0,0,0
169,171,251,4975.72358,600,0,1017.36,0,0,0
169,174,252,8803.570417,700,0,1384.74,0,0,0
169,175,253,11629.63113,600,0,1017.36,0,0,0
170,172,254,5003.503623,300,0,254.34,0,0,0
171,172,255,3722.492241,500,0,706.5,0,0,0
171,173,256,4334.674638,400,0,452.16,0,0,0
172,149,257,3573.873098,300,0,254.34,0,0,0
172,149,258,3573.873098,300,0,254.34,0,0,0
173,178,259,5445.506318,400,0,452.16,0,0,0
173,179,260,4570.722632,300,0,254.34,0,0,0
174,176,261,5975.295254,500,0,706.5,0,0,0
174,176,262,5975.295254,500,0,706.5,0,0,0
175,176,263,5313.467375,700,0,1384.74,0,0,0
175,177,264,4814.720719,400,0,452.16,0,0,0
175,180,265,6417.993805,400,0,452.16,0,0,0
177,180,266,3492.120175,400,0,452.16,0,0,0
177,180,267,3492.120175,600,0,1017.36,0,0,0
180,181,268,9206.208038,200,0,113.04,0,0,0
180,182,269,8025.510003,300,0,254.34,0,0,0
183,184,270,16080.9992,300,0,254.34,0,0,0
183,189,271,8045.262821,250,0,176.625,0,0,0
184,185,272,11225.13538,300,0,254.34,0,0,0
185,186,273,6863.872429,400,0,452.16,0,0,0
186,187,274,9101.026421,300,0,254.34,0,0,0
186,188,275,8680.512508,300,0,254.34,0,0,0
187,188,276,2055.312942,400,0,452.16,0,0,0
187,193,277,11411.93222,200,0,113.04,0,0,0
187,202,278,5663.723672,250,0,176.625,0,0,0
189,190,279,7711.184265,300,0,254.34,0,0,0
189,190,280,7711.184265,300,0,254.34,0,0,0
189,193,281,18104.6449,400,0,452.16,0,0,0
189,218,282,10200.53036,400,0,452.16,0,0,0
189,218,283,10200.53036,300,0,254.34,0,0,0
190,192,284,6018.034051,300,0,254.34,0,0,0
190,193,285,10757.62218,300,0,254.34,0,0,0
191,192,286,8876.418883,200,0,113.04,0,0,0
191,195,287,10555.77641,300,0,254.34,0,0,0
192,193,288,5274.342299,400,0,452.16,0,0,0
193,194,289,6161.322043,250,0,176.625,0,0,0
194,200,290,12428.34333,250,0,176.625,0,0,0
195,196,291,3344.464304,250,0,176.625,0,0,0
195,197,292,11117.08325,300,0,254.34,0,0,0
195,197,293,11117.08325,200,0,113.04,0,0,0
197,198,294,2121.636156,400,0,452.16,0,0,0
197,198,295,2121.636156,400,0,452.16,0,0,0
197,200,296,4056.400431,400,0,452.16,0,0,0
197,200,297,4056.400431,300,0,254.34,0,0,0
198,199,298,3431.314872,400,0,452.16,0,0,0
198,209,299,13525.16021,250,0,176.625,0,0,0
199,200,300,4042.834311,300,0,254.34,0,0,0
200,201,301,4475.115254,300,0,254.34,0,0,0
201,202,302,13313.18865,200,0,113.04,0,0,0
201,204,303,14653.50508,250,0,176.625,0,0,0
203,204,304,8759.21508,250,0,176.625,0,0,0
203,205,305,11379.51555,200,0,113.04,0,0,0
204,205,306,5209.123202,300,0,254.34,0,0,0
204,206,307,9785.1126,300,0,254.34,0,0,0
206,207,308,7629.130565,300,0,254.34,0,0,0
206,209,309,12731.4351,200,0,113.04,0,0,0
206,219,310,11109.37586,300,0,254.34,0,0,0
207,208,311,11726.7096,300,0,254.34,0,0,0
208,238,312,21864.63705,250,0,176.625,0,0,0
209,211,313,7256.181022,250,0,176.625,0,0,0
210,211,314,8155.260551,400,0,452.16,0,0,0
210,212,315,7331.649943,250,0,176.625,0,0,0
211,220,316,10533.5277,250,0,176.625,0,0,0
211,224,317,11785.62004,150,0,63.585,0,0,0
212,213,318,9170.801976,200,0,113.04,0,0,0
212,214,319,6314.019175,300,0,254.34,0,0,0
213,214,320,6538.674541,300,0,254.34,0,0,0
213,215,321,6038.16633,200,0,113.04,0,0,0
214,215,322,6235.055875,250,0,176.625,0,0,0
214,216,323,3583.76934,400,0,452.16,0,0,0
216,217,324,2630.18926,300,0,254.34,0,0,0
219,220,325,3200.284665,200,0,113.04,0,0,0
220,221,326,2437.047899,300,0,254.34,0,0,0
220,230,327,22520.66492,400,0,452.16,0,0,0
221,222,328,5489.807675,300,0,254.34,0,0,0
221,234,329,6985.49757,200,0,113.04,0,0,0
222,223,330,3888.392769,300,0,254.34,0,0,0
223,224,331,4880.392201,400,0,452.16,0,0,0
223,225,332,8273.324048,300,0,254.34,0,0,0
223,226,333,6859.726695,300,0,254.34,0,0,0
223,227,334,10286.21219,400,0,452.16,0,0,0
226,227,335,4127.652394,250,0,176.625,0,0,0
227,228,336,3521.910001,300,0,254.34,0,0,0
227,229,337,10300.08027,400,0,452.16,0,0,0
227,229,338,10300.08027,400,0,452.16,0,0,0
