id,label,lat,lon,name,type,weight,discharge,elevation,max_supply_head,disuse,use_pump,ind_ratio
61,FRL015,52.98642811,5.638281006,FRL015,demand,1,0.513573496,0,0,0,0,0.3
62,FRL016,52.97881872,5.434492016,FRL016,demand,1,1.669978999,0,0,0,0,0.3
63,FRL017,52.86596747,5.501595691,FRL017,demand,1,0.526440109,0,0,0,0,0.3
64,FRL018,52.91508429,5.699819851,FRL018,demand,1,1.127218486,0,0,0,0,0.3
65,FRL019,52.9581305,5.830279717,FRL019,demand,1,1.653051461,0,0,0,0,0.3
66,FRL020,52.85171164,5.71311365,FRL020,demand,1,0.657016798,0,0,0,0,0.3
67,FRL021,52.86234055,5.8522207,FRL021,demand,1,0.359509914,0,0,0,0,0.3
68,FRL022,53.3618428,5.911691402,FRL022,demand,1,1.023888953,0,0,0,0,0.3
69,FRL023,53.32215213,5.996133175,FRL023,demand,1,1.23786246,0,0,0,0,0.3
70,FRL024,53.36315985,6.104130679,FRL024,demand,1,0.575013597,0,0,0,0,0.3
71,FRL025,53.26760525,5.896668261,FRL025,demand,1,0.614128588,0,0,0,0,0.3
72,FRL026,53.22320007,6.000130012,FRL026,demand,1,1.218354737,0,0,0,0,0.3
73,FRL027,53.27726454,6.165189255,FRL027,demand,1,1.151557866,0,0,0,0,0.3
74,FRL028,53.21484437,6.091671903,FRL028,demand,1,0.112473709,0,0,0,0,0.3
75,FRL029,53.17929652,6.15880692,FRL029,demand,1,0.024231907,0,0,0,0,0.3
76,FRL030,53.17884679,5.996436094,FRL030,demand,1,0.287808306,0,0,0,0,0.3
77,FRL031,53.12199595,6.078631893,FRL031,demand,1,4.659156854,0,0,0,0,0.3
78,FRL032,53.08321016,6.147114925,FRL032,demand,1,0.399742459,0,0,0,0,0.3
79,FRL033,53.01354296,6.044708554,FRL033,demand,1,0.271153113,0,0,0,0,0.3
80,FRL034,52.96194002,5.928707712,FRL034,demand,1,5.350915678,0,0,0,0,0.3
81,FRL035,52.93227588,5.961386566,FRL035,demand,1,0.108597269,0,0,0,0,0.3
82,FRL036,52.90162319,6.051435183,FRL036,demand,1,1.635492382,0,0,0,0,0.3
83,FRL037,52.97021232,6.103791243,FRL037,demand,1,0.032469697,0,0,0,0,0.3
84,FRL038,52.92253225,6.113714373,FRL038,demand,1,0.110497003,0,0,0,0,0.3
